Organisation,Type,Region,Priority (1 = first),Why they matter,Role or person to reach,Named public contact (papers / programme leads only),Website,Channel,Pitch angle,Email,Status,Notes
Southeast Michigan Council of Governments (SEMCOG),MPO / regional agency,MI,2,,"Plan and Policy Development, Modeling",,https://semcog.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Illinois DOT (IDOT),State DOT,IL,2,Chicago expressway management; CMAP modeling nearby,Bureau of Operations; ITS programme,,https://idot.illinois.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Indiana DOT (INDOT),State DOT,IN,2,Purdue JTRP research partnership; probe-data leader,Traffic Management; Research and Development,,https://in.gov/indot,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Kentucky Transportation Cabinet,State DOT,KY,2,Publishes VISSIM calibration reports for corridor studies,Division of Planning; Traffic Operations,,https://transportation.ky.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Maryland DOT SHA,State DOT,MD,2,CHART operations programme; University of Maryland CATT Lab,Office of Transportation Mobility and Operations,,https://roads.maryland.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Massachusetts DOT,State DOT,MA,2,Boston corridors; Boston MPO modeling,"Highway Division, Traffic and Safety Engineering",,https://mass.gov/orgs/massachusetts-department-of-transportation,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Missouri DOT (MoDOT),State DOT,MO,2,St. Louis and Kansas City TMCs,Traffic Management and Operations,,https://modot.org,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Nevada DOT,State DOT,NV,2,Las Vegas FAST regional traffic management,Traffic Operations; FAST (with RTC of Southern Nevada),,https://dot.nv.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
New Jersey DOT,State DOT,NJ,2,Dense corridors; NJ traffic operations centers,Bureau of Transportation Systems Management,,https://nj.gov/transportation,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
New York State DOT (NYSDOT),State DOT,NY,2,Publishes consultant rate ceilings; large modeling practice,Office of Traffic Safety and Mobility; Statewide Planning,,https://dot.ny.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Oregon DOT (ODOT),State DOT,OR,2,Portland ATM / VSL on OR 217 and I-5; Metro modeling nearby,Traffic-Roadway Section; ITS unit,,https://oregon.gov/odot,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Pennsylvania DOT (PennDOT),State DOT,PA,2,Large ITS programme; regional TMCs,"Bureau of Maintenance and Operations, TSMO",,https://penndot.pa.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Utah DOT (UDOT),State DOT,UT,2,Nationally known TSMO and performance measures culture,Traffic Management Division; TSMO,,https://udot.utah.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Wisconsin DOT,State DOT,WI,2,Milwaukee freeway management; UW TOPS Lab nearby,Bureau of Traffic Operations,,https://wisconsindot.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
"Georgia Tech, School of Civil and Environmental Engineering",University / research lab,GA,2,Traffic operations and CAV research,Transportation systems faculty,,https://ce.gatech.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"MIT, Intelligent Transportation Systems Lab",University / research lab,MA,2,,ITS Lab faculty,,https://its.mit.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
Northwestern University Transportation Center,University / research lab,IL,2,,Transportation center director,,https://transportation.northwestern.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"Purdue University, JTRP",University / research lab,IN,2,INDOT research partnership; probe-data leadership,JTRP director; traffic operations faculty,,https://engineering.purdue.edu/JTRP,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
Rutgers University–Camden (CIRCLES),University / research lab,NJ,2,Traffic-flow theory; CIRCLES PI,Faculty listed; also the lab's programme manager,Prof. Benedetto Piccoli,https://camden.rutgers.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"Temple University, Mathematics (CIRCLES)",University / research lab,PA,2,Traffic-flow theory; CIRCLES PI,Faculty listed; also the lab's programme manager,Prof. Benjamin Seibold,https://temple.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"UC Irvine, Institute of Transportation Studies",University / research lab,CA,2,Traffic-flow theory and simulation,ITS director; traffic-flow faculty,,https://its.uci.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"UT Austin, Center for Transportation Research (CTR)",University / research lab,TX,2,Texas modeling and network research,CTR director; traffic modeling faculty,,https://ctr.utexas.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
University of Florida Transportation Institute (UFTI),University / research lab,FL,2,FDOT research partner; simulation work,UFTI director; traffic simulation faculty,,https://transportation.ufl.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"University of Maryland, CATT Lab",University / research lab,MD,2,RITIS probe-data platform used by many DOTs,CATT Lab director,,https://cattlab.umd.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"University of Michigan, UMTRI / Mcity",University / research lab,MI,2,CAV testbed; OEM relationships,Mcity director; UMTRI traffic faculty,,https://mcity.umich.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"University of Tennessee, Center for Transportation Research",University / research lab,TN,2,In-state research partner for TDOT,CTR director,,https://ctr.utk.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
Virginia Tech Transportation Institute (VTTI),University / research lab,VA,2,Naturalistic driving data; CAV,VTTI centre directors,,https://vtti.vt.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
Kodiak Robotics,AV fleet / OEM,US,3,Autonomous trucking on Texas corridors,Autonomy; partnerships,,https://kodiak.ai,Research partnerships page; warm introduction through CIRCLES or Vanderbilt,"Before deploying smoothing at scale, the dose-response on a calibrated real corridor: what 1 to 20 percent penetration does to throughput, travel time and fuel.",,not contacted,
May Mobility,AV fleet / OEM,US,3,,Partnerships,,https://maymobility.com,Research partnerships page; warm introduction through CIRCLES or Vanderbilt,"Before deploying smoothing at scale, the dose-response on a calibrated real corridor: what 1 to 20 percent penetration does to throughput, travel time and fuel.",,not contacted,
Motional,AV fleet / OEM,US,3,,Research,,https://motional.com,Research partnerships page; warm introduction through CIRCLES or Vanderbilt,"Before deploying smoothing at scale, the dose-response on a calibrated real corridor: what 1 to 20 percent penetration does to throughput, travel time and fuel.",,not contacted,
Tesla (Autopilot / FSD),AV fleet / OEM,US,3,Largest driver-assistance fleet; long shot,Autopilot engineering,,https://tesla.com,Research partnerships page; warm introduction through CIRCLES or Vanderbilt,"Before deploying smoothing at scale, the dose-response on a calibrated real corridor: what 1 to 20 percent penetration does to throughput, travel time and fuel.",,not contacted,
Torc Robotics,AV fleet / OEM,US,3,Autonomous trucking (Daimler),Autonomy research,,https://torc.ai,Research partnerships page; warm introduction through CIRCLES or Vanderbilt,"Before deploying smoothing at scale, the dose-response on a calibrated real corridor: what 1 to 20 percent penetration does to throughput, travel time and fuel.",,not contacted,
Zoox,AV fleet / OEM,US,3,,Research,,https://zoox.com,Research partnerships page; warm introduction through CIRCLES or Vanderbilt,"Before deploying smoothing at scale, the dose-response on a calibrated real corridor: what 1 to 20 percent penetration does to throughput, travel time and fuel.",,not contacted,
Alfred Benesch & Company,Consultancy,US,3,,Traffic engineering,,https://benesch.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Burns & McDonnell,Consultancy,US,3,,"Transportation, traffic and ITS",,https://burnsmcd.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
CDM Smith,Consultancy,US,3,,Transportation planning and modeling,,https://cdmsmith.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Dewberry,Consultancy,US,3,,Traffic and ITS,,https://dewberry.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Gannett Fleming (GFT),Consultancy,US,3,,Traffic and ITS practice,,https://gftengineering.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
KCI Technologies,Consultancy,US,3,Mid-Atlantic traffic and ITS,Traffic engineering,,https://kci.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Mead & Hunt,Consultancy,US,3,,Traffic engineering,,https://meadhunt.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
RS&H,Consultancy,US,3,Southeast DOT consultant,Traffic and ITS,,https://rsandh.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
RSG (Resource Systems Group),Consultancy,US,3,Travel-demand modeling specialists,Modeling practice,,https://rsginc.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
STV,Consultancy,US,3,,Traffic engineering,,https://stvinc.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Sam Schwartz (TYLin),Consultancy,US,3,,Traffic engineering,,https://samschwartz.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Steer,Consultancy,US,3,Modeling consultancy,Modeling practice,,https://steergroup.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
TranSystems,Consultancy,US,3,,Traffic and ITS,,https://transystems.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
WSB,Consultancy,US,3,Upper Midwest; MnDOT work,Traffic and ITS,,https://wsbeng.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Wade Trim,Consultancy,US,3,,Traffic engineering,,https://wadetrim.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"The two weeks of hand calibration per corridor, automated: onboard from OpenStreetMap, calibrate to counts, run scenarios, generate the report. Per-study pricing first.",,not contacted,
Aimsun,"Data, sensors, integrators",Spain,3,Incumbent simulator with real-time products; competitor and reference,Partnerships,,https://aimsun.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
Caliper Corporation (TransModeler),"Data, sensors, integrators",US,3,Incumbent simulator,Partnerships,,https://caliper.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
Cubic Transportation Systems (ITS),"Data, sensors, integrators",US,3,ATMS integrator (GRIDSMART lineage),Partnerships,,https://cubic.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
Econolite,"Data, sensors, integrators",US,3,ATMS and controllers; integration partner,Product management,,https://econolite.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
Kapsch TrafficCom,"Data, sensors, integrators",US,3,Managed lanes and ATM systems,Partnerships,,https://kapsch.net,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
Miovision,"Data, sensors, integrators",Canada,3,Traffic data and signal analytics,Partnerships,,https://miovision.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
PTV Group,"Data, sensors, integrators",Germany,3,"Incumbent simulator; possible integration or channel, also a competitor",Partnerships,,https://ptvgroup.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
Q-Free,"Data, sensors, integrators",US,3,ATMS (Kinetic) integrator,Partnerships,,https://q-free.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
Rekor Systems,"Data, sensors, integrators",US,3,Roadway intelligence platform for agencies,Partnerships,,https://rekor.ai,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
StreetLight Data,"Data, sensors, integrators",US,3,Location-derived demand data (counts alternative),Public sector sales,,https://streetlightdata.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
Teledyne FLIR ITS,"Data, sensors, integrators",US,3,Thermal traffic sensors,ITS partnerships,,https://flir.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,The live-advisory path needs sensing and actuation partners; FlowState brings the calibrated model and the state estimator.,,not contacted,
Traffic Engineering Council / ITE TSMO Council,Federal / industry body,US,3,,Council chairs,,https://ite.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"A reproducible, open validation record that follows the Traffic Analysis Toolbox; a speaker or demo for a session; SBIR fit.",,not contacted,
Baltimore Metropolitan Council (BMC),MPO / regional agency,MD,3,,"Transportation Planning, Modeling",,https://baltometro.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Broward MPO,MPO / regional agency,FL,3,,Systems Planning,,https://browardmpo.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Capital Area MPO (Raleigh),MPO / regional agency,NC,3,,Modeling,,https://campo-nc.us,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
"Capitol Region Council of Governments (CRCOG, Hartford)",MPO / regional agency,CT,3,,Transportation Planning,,https://crcog.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Charlotte Regional TPO,MPO / regional agency,NC,3,,"Transportation Planning, Modeling",,https://crtpo.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Chattanooga-Hamilton County/North Georgia TPO,MPO / regional agency,TN,3,I-24 continues here,Transportation Planning,,https://chcrpa.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
East-West Gateway Council of Governments (St. Louis),MPO / regional agency,MO,3,,"Transportation Planning, Modeling",,https://ewgateway.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Hampton Roads TPO,MPO / regional agency,VA,3,,"Transportation Planning, Modeling",,https://hrtpo.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Hillsborough TPO (Tampa),MPO / regional agency,FL,3,,Planning and Modeling,,https://planhillsborough.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Indianapolis MPO,MPO / regional agency,IN,3,,"Planning, Modeling",,https://indympo.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Knoxville Regional TPO,MPO / regional agency,TN,3,,Transportation Planning,,https://knoxtpo.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Memphis MPO,MPO / regional agency,TN,3,,Transportation Planning,,https://memphismpo.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
"Mid-America Regional Council (MARC, Kansas City)",MPO / regional agency,MO,3,Operation Green Light; bi-state,"Transportation and Environment, Modeling",,https://marc.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Mid-Ohio Regional Planning Commission (MORPC),MPO / regional agency,OH,3,,Transportation Systems and Funding; Modeling,,https://morpc.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
North Florida TPO (Jacksonville),MPO / regional agency,FL,3,Active ITS programme,Planning; ITS,,https://northfloridatpo.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Northeast Ohio Areawide Coordinating Agency (NOACA),MPO / regional agency,OH,3,,"Transportation Planning, Modeling",,https://noaca.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
OKI Regional Council of Governments (Cincinnati),MPO / regional agency,OH,3,,"Transportation Planning, Modeling",,https://oki.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Pima Association of Governments (Tucson),MPO / regional agency,AZ,3,,"Transportation Planning, Modeling",,https://pagregion.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Regional Transportation Commission of Southern Nevada,MPO / regional agency,NV,3,Runs FAST traffic management with NDOT,FAST; Planning,,https://rtcsnv.com,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Richmond Regional TPO (PlanRVA),MPO / regional agency,VA,3,,Transportation Planning,,https://planrva.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
"Southwestern Pennsylvania Commission (SPC, Pittsburgh)",MPO / regional agency,PA,3,,"Transportation Planning, Modeling",,https://spcregion.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Wasatch Front Regional Council,MPO / regional agency,UT,3,,Analytics and Modeling,,https://wfrc.org,Public contact page on the website; LinkedIn for the named role; TRB Annual Meeting and ITE section meetings,"Corridor-level operations analysis that plugs into your regional model outputs; smoothing, VSL and metering scenarios with confidence intervals.",,not contacted,
Alabama DOT (ALDOT),State DOT,AL,3,Birmingham corridors,Traffic Operations,,https://dot.state.al.us,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Alaska DOT&PF,State DOT,AK,3,,Traffic and Safety,,https://dot.alaska.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Arkansas DOT,State DOT,AR,3,,Transportation Planning and Policy; Traffic,,https://ardot.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Connecticut DOT,State DOT,CT,3,I-95 corridor; CRCOG modeling,"Bureau of Engineering and Construction, Traffic",,https://portal.ct.gov/dot,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Delaware DOT (DelDOT),State DOT,DE,3,Integrated TMC; small agile agency,Transportation Management Center,,https://deldot.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
District DOT (DDOT),State DOT,DC,3,,Traffic Operations and Safety,,https://ddot.dc.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Hawaii DOT,State DOT,HI,3,H-1 congestion in Honolulu,"Highways Division, Traffic Branch",,https://hidot.hawaii.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Idaho Transportation Department,State DOT,ID,3,,Traffic Services,,https://itd.idaho.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Iowa DOT,State DOT,IA,3,INRIX statewide case study; Iowa State InTrans nearby,Traffic Operations; Systems Planning,,https://iowadot.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
